pcp_id,panel_size,high_risk_patients,high_risk_pct,avg_panel_risk_score,avg_cost_per_patient
PCP0075,46.0,11.0,23.9,36.1,16186.0
PCP0015,67.0,16.0,23.9,39.9,14739.0
PCP0045,55.0,13.0,23.6,37.9,14891.0
PCP0192,51.0,12.0,23.5,36.5,14489.0
PCP0059,51.0,12.0,23.5,36.2,14252.0
PCP0057,47.0,11.0,23.4,38.7,16394.0
PCP0097,47.0,11.0,23.4,37.5,15633.0
PCP0133,60.0,14.0,23.3,36.1,15661.0
PCP0021,60.0,14.0,23.3,37.8,16818.0
PCP0055,39.0,9.0,23.1,37.6,14049.0
PCP0200,48.0,11.0,22.9,36.8,17037.0
PCP0111,48.0,11.0,22.9,37.6,18768.0
PCP0009,35.0,8.0,22.9,37.2,12924.0
PCP0071,48.0,11.0,22.9,35.4,16857.0
PCP0109,48.0,11.0,22.9,36.4,15544.0
PCP0018,48.0,11.0,22.9,34.7,17511.0
PCP0078,35.0,8.0,22.9,34.2,14160.0
PCP0005,53.0,12.0,22.6,36.7,15555.0
PCP0124,40.0,9.0,22.5,36.5,17315.0
PCP0154,49.0,11.0,22.4,37.1,16200.0
PCP0003,58.0,13.0,22.4,38.2,16485.0
PCP0095,45.0,10.0,22.2,38.4,17481.0
PCP0150,63.0,14.0,22.2,33.1,14051.0
PCP0105,63.0,14.0,22.2,36.4,14072.0
PCP0193,59.0,13.0,22.0,36.3,13817.0
PCP0138,55.0,12.0,21.8,36.6,16562.0
PCP0107,55.0,12.0,21.8,36.8,15992.0
PCP0129,46.0,10.0,21.7,36.8,15125.0
PCP0035,46.0,10.0,21.7,36.7,13527.0
PCP0024,46.0,10.0,21.7,37.5,17130.0
PCP0016,51.0,11.0,21.6,34.1,12661.0
PCP0137,51.0,11.0,21.6,34.6,14757.0
PCP0043,42.0,9.0,21.4,37.1,13982.0
PCP0072,47.0,10.0,21.3,37.2,18029.0
PCP0110,47.0,10.0,21.3,36.5,13573.0
PCP0051,47.0,10.0,21.3,37.4,16716.0
PCP0002,52.0,11.0,21.2,36.8,15915.0
PCP0170,52.0,11.0,21.2,36.0,15969.0
PCP0025,57.0,12.0,21.1,36.8,17494.0
PCP0054,38.0,8.0,21.1,37.3,14976.0
PCP0141,43.0,9.0,20.9,33.6,14892.0
PCP0044,53.0,11.0,20.8,37.3,16979.0
PCP0182,58.0,12.0,20.7,36.5,16510.0
PCP0094,34.0,7.0,20.6,36.9,16252.0
PCP0198,63.0,13.0,20.6,36.6,15903.0
PCP0134,44.0,9.0,20.5,37.2,15142.0
PCP0171,49.0,10.0,20.4,36.2,16893.0
PCP0106,49.0,10.0,20.4,38.5,18150.0
PCP0113,49.0,10.0,20.4,35.3,11779.0
PCP0157,59.0,12.0,20.3,34.5,13763.0
PCP0050,59.0,12.0,20.3,35.8,14608.0
PCP0056,45.0,9.0,20.0,36.0,13940.0
PCP0053,50.0,10.0,20.0,37.3,16417.0
PCP0099,50.0,10.0,20.0,35.9,15865.0
PCP0161,51.0,10.0,19.6,37.7,16810.0
PCP0070,56.0,11.0,19.6,33.1,14167.0
PCP0087,51.0,10.0,19.6,37.2,15491.0
PCP0195,47.0,9.0,19.1,34.6,14652.0
PCP0040,47.0,9.0,19.1,34.0,14793.0
PCP0186,53.0,10.0,18.9,38.3,17263.0
PCP0143,48.0,9.0,18.8,37.1,16480.0
PCP0185,54.0,10.0,18.5,34.4,15021.0
PCP0172,49.0,9.0,18.4,35.8,17503.0
PCP0012,49.0,9.0,18.4,34.7,16918.0
PCP0085,55.0,10.0,18.2,35.1,13325.0
PCP0194,56.0,10.0,17.9,33.4,12531.0
PCP0180,39.0,7.0,17.9,34.3,16798.0
PCP0189,39.0,7.0,17.9,34.3,13486.0
PCP0152,39.0,7.0,17.9,35.5,18097.0
PCP0135,51.0,9.0,17.6,34.2,14191.0
PCP0064,52.0,9.0,17.3,36.8,16711.0
PCP0128,52.0,9.0,17.3,33.8,14439.0
PCP0092,52.0,9.0,17.3,33.4,13003.0
PCP0183,41.0,7.0,17.1,32.4,16579.0
PCP0073,53.0,9.0,17.0,34.5,15309.0
PCP0117,60.0,10.0,16.7,34.5,13390.0
PCP0187,48.0,8.0,16.7,32.7,14097.0
PCP0139,54.0,9.0,16.7,34.8,13208.0
PCP0146,55.0,9.0,16.4,33.6,12803.0
PCP0023,62.0,10.0,16.1,34.8,14090.0
PCP0061,50.0,8.0,16.0,32.4,12814.0
PCP0169,50.0,8.0,16.0,34.7,11772.0
PCP0082,51.0,8.0,15.7,36.4,15830.0
PCP0125,45.0,7.0,15.6,32.4,13532.0
PCP0013,46.0,7.0,15.2,32.8,15118.0
PCP0119,53.0,8.0,15.1,33.3,13349.0
PCP0163,47.0,7.0,14.9,33.9,13526.0
PCP0080,47.0,7.0,14.9,33.4,13388.0
PCP0156,41.0,6.0,14.6,32.0,11928.0
PCP0008,49.0,7.0,14.3,36.0,15026.0
PCP0079,42.0,6.0,14.3,36.4,14483.0
PCP0058,50.0,7.0,14.0,33.5,12580.0
PCP0159,50.0,7.0,14.0,34.7,17202.0
PCP0100,50.0,7.0,14.0,34.6,15355.0
PCP0034,50.0,7.0,14.0,34.2,14705.0
PCP0069,44.0,6.0,13.6,33.2,13775.0
PCP0103,47.0,6.0,12.8,31.7,18640.0
PCP0160,49.0,6.0,12.2,30.1,10556.0
PCP0019,53.0,6.0,11.3,32.5,12351.0
PCP0165,50.0,5.0,10.0,33.1,11989.0
